Begin Date,Begin Time,End Time,Vehicle Location,Vehicle Type,Vehicle Characteristics,Transaction Characteristics,Bikeway Users Displaced,LZ Space Avail,Occupied while idle?,CNS?,TNC?,Notes,Duration
8/28/2019,12:00:00 PM,12:02:43 PM,NB right turn pocket,Delivery Van (< 20 feet),,,,2,FALSE,FALSE,FALSE,,0:02:43
8/28/2019,12:00:00 PM,12:11:35 PM,NB right turn pocket,Delivery Van (< 20 feet),,,,2,FALSE,FALSE,FALSE,,0:11:35
8/28/2019,12:04:21 PM,12:16:20 PM,Space 1,Car,Other significant characteristic (see note),Interaction with parking meter,,,TRUE,FALSE,FALSE,"Two people, both get out",0:11:59
8/28/2019,12:29:16 PM,12:31:40 PM,Space 2,Pickup or SUV,Other significant characteristic (see note),No interaction with parking meter,,1,FALSE,TRUE,FALSE,"One person, comes back with a coffee",0:02:24
8/28/2019,12:32:19 PM,12:33:43 PM,NB right turn pocket,Car,Blinkers on,,,2,FALSE,FALSE,FALSE,One person gets out,0:01:24
8/28/2019,12:32:22 PM,12:34:43 PM,Space 2,Car,Other significant characteristic (see note),No interaction with parking meter,,,FALSE,FALSE,FALSE,One person runs out of car,0:02:21
8/28/2019,12:33:44 PM,12:37:25 PM,Space 1,Pickup or SUV,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:03:41
8/28/2019,12:35:46 PM,12:37:05 PM,NB right turn pocket,Car,Blinkers on,,,2,TRUE,FALSE,FALSE,"Driver exits to retrieve something from trunk, other passenger steps out for a second. ",0:01:19
8/28/2019,12:37:30 PM,12:44:07 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,One person gets out,0:06:37
8/28/2019,12:42:21 PM,12:46:12 PM,Space 1,Delivery Van (< 20 feet),,Interaction with parking meter,,,FALSE,FALSE,FALSE,Two people loading large object,0:03:51
8/28/2019,12:45:29 PM,12:58:00 PM,NB right turn pocket,Pickup or SUV,Other significant characteristic (see note),,,1,FALSE,FALSE,FALSE,"Police car, two offficers get out",0:12:31
8/28/2019,12:47:12 PM,1:06:27 PM,Space 2,Pickup or SUV,,No interaction with parking meter,,,FALSE,FALSE,FALSE,seem to be transporting bulky boxes in back of pickup,0:19:15
8/28/2019,12:00:00 PM,12:48:46 PM,Space 3,Delivery truck (> 20 feet),Other significant characteristic (see note),,,,FALSE,FALSE,FALSE,Back kept open entire time it's parked. ,0:48:46
8/28/2019,12:48:23 PM,12:48:57 PM,Space 1,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:00:34
8/28/2019,12:59:06 PM,1:00:57 PM,Space 3,Car,,,,,FALSE,TRUE,FALSE,One person gets out.,0:01:51
8/21/2019,12:02:40 PM,12:03:04 PM,Both/Middle of Space 1 & 2,Car,Blinkers on,No one exits vehicle,,,TRUE,FALSE,FALSE,No one got out,0:00:24
8/21/2019,12:00:00 PM,12:04:51 PM,Space 3,Car,Other significant characteristic (see note),,,,FALSE,TRUE,FALSE,person returns with two plastic bags,0:04:51
8/21/2019,12:05:28 PM,1:06:14 PM,Both/Middle of Space 1 & 2,Pickup or SUV,Other significant characteristic (see note),Interaction with parking meter,,,FALSE,FALSE,FALSE,"one person pulled out a cart from trunk and crossed the street, came back with goods multiple times",1:00:46
8/21/2019,12:04:00 PM,12:12:35 PM,NB right turn pocket,Delivery truck (> 20 feet),Blinkers on,No interaction with parking meter,,1,FALSE,FALSE,FALSE,driver unload stuff from trunk and deliver stuff across the street,0:08:35
8/21/2019,12:10:15 PM,12:10:28 PM,Space 3,Car,,,,1,TRUE,FALSE,FALSE,No one got out,0:00:13
8/21/2019,12:16:36 PM,12:17:03 PM,Space 3,Car,Blinkers on,,,1,TRUE,FALSE,FALSE,"No one got out, car then goes into parking structure",0:00:27
8/21/2019,12:17:30 PM,12:18:10 PM,Space 3,Car,,,,1,TRUE,FALSE,FALSE,"No one got out, car then goes into parking structure",0:00:40
8/21/2019,12:18:58 PM,12:19:58 PM,NB right turn pocket,Pickup or SUV,,,,1,FALSE,FALSE,FALSE,Driver gets out and comes back with nothing,0:01:00
8/21/2019,12:19:20 PM,12:22:00 PM,Space 3,Car,,,,1,FALSE,TRUE,FALSE,Driver returns with a bag,0:02:40
8/21/2019,12:22:36 PM,12:23:12 PM,Space 3,Car,,,,1,TRUE,FALSE,FALSE,No one got out,0:00:36
8/21/2019,12:23:26 PM,12:24:05 PM,SB bike lane,Car,,,0,1,TRUE,FALSE,FALSE,,0:00:39
8/21/2019,12:24:11 PM,12:51:37 PM,Space 3,Car,Other significant characteristic (see note),,,1,FALSE,TRUE,FALSE,"Driver stayed in car for a while and then got out, driver comes back with bags",0:27:26
8/21/2019,12:29:39 PM,12:30:20 PM,Space 3,Car,Blinkers on,,,1,TRUE,FALSE,FALSE,Car managed to fit in space 3 because other cars parked improperly,0:00:41
8/21/2019,12:30:30 PM,12:33:57 PM,Space 3,Car,Other significant characteristic (see note),,,1,FALSE,TRUE,FALSE,"Car managed to fit in, driver stayed in car for a while and then got out, came back with bags",0:03:27
8/21/2019,12:33:23 PM,12:51:21 PM,Space 1,Car,Other significant characteristic (see note),No interaction with parking meter,,,FALSE,TRUE,FALSE,Driver gets out.  Deposits package,0:17:58
8/21/2019,12:37:05 PM,12:51:34 PM,Space 3,Car,,,,0,FALSE,FALSE,FALSE,"car managed to fit in, ",0:14:29
8/21/2019,12:38:20 PM,12:50:43 PM,SB bike lane,Delivery Van (< 20 feet),Blinkers on,,1,0,FALSE,FALSE,FALSE,Driver unloaded goods from trunk,0:12:23
8/21/2019,12:41:00 PM,12:42:50 PM,SB bike lane,Pickup or SUV,,,0,0,FALSE,FALSE,FALSE,Seemed to back off until out of frame but still on bike lane,0:01:50
8/21/2019,12:44:33 PM,12:45:13 PM,NB right turn pocket,Pickup or SUV,,,,0,FALSE,FALSE,FALSE,driver retrieved something from the trunk,0:00:40
8/21/2019,12:46:23 PM,1:07:45 PM,NB right turn pocket,Delivery truck (> 20 feet),,,,0,FALSE,FALSE,FALSE,,0:21:22
8/21/2019,12:52:35 PM,1:06:39 PM,Space 1,Pickup or SUV,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:14:04
8/21/2019,12:54:40 PM,12:54:45 PM,SB bike lane,Pickup or SUV,Blinkers on,,0,1,TRUE,FALSE,FALSE,Stopped at bike lane for 5 seconds,0:00:05
8/21/2019,12:55:15 PM,1:28:45 PM,Space 3,Delivery Van (< 20 feet),,,,0,FALSE,FALSE,FALSE,driver makes serveral trips in and out of store,0:33:30
8/21/2019,1:29:46 PM,1:31:55 PM,Space 2,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:02:09
8/21/2019,1:34:16 PM,1:34:23 PM,SB bike lane,Car,Blinkers on,,0,2,TRUE,FALSE,FALSE,,0:00:07
8/21/2019,1:34:37 PM,1:42:40 PM,Space 2,Car,Other significant characteristic (see note),No interaction with parking meter,,,FALSE,TRUE,FALSE,"A passenger got out and the car moved to space 3, bring bags back after a while",0:08:03
8/21/2019,1:36:07 PM,1:38:23 PM,Space 1,Car,Other significant characteristic (see note),No interaction with parking meter,,,FALSE,TRUE,FALSE,Passenger got out and brought bags back,0:02:16
8/21/2019,1:40:25 PM,1:42:10 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:01:45
8/21/2019,1:45:10 PM,3:19:09 PM,Space 3,Car,,,,2,FALSE,FALSE,FALSE,,1:33:59
8/21/2019,1:48:57 PM,2:45:22 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,Passenger got out after parking for 12 minutes and 45 minutes later brought bags back,0:56:25
8/21/2019,1:49:57 PM,1:50:10 PM,SB bike lane,Car,,,0,1,TRUE,FALSE,FALSE,,0:00:13
8/21/2019,1:49:21 PM,1:57:01 PM,NB right turn pocket,Car,Blinkers on,,,1,TRUE,FALSE,FALSE,,0:07:40
8/21/2019,2:01:52 PM,2:07:10 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,,0:05:18
8/21/2019,2:08:42 PM,2:14:22 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,Driver got out and brought bags back,0:05:40
8/21/2019,2:09:10 PM,2:11:07 PM,SB bike lane,Car,Blinkers on,,1,0,FALSE,TRUE,FALSE,,0:01:57
8/21/2019,2:15:40 PM,2:24:36 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,"Driver never gets out, passengers got in",0:08:56
8/21/2019,2:26:05 PM,2:48:07 PM,Space 1,Car,,Interaction with parking meter,,,FALSE,FALSE,FALSE,Driver got out and came back,0:22:02
8/21/2019,2:33:28 PM,2:34:45 PM,SB bike lane,Car,Blinkers on,,0,0,FALSE,TRUE,FALSE,,0:01:17
8/21/2019,2:33:41 PM,2:34:00 PM,SB bike lane,Car,,,0,0,FALSE,FALSE,TRUE,Dropping off passengers,0:00:19
8/21/2019,2:36:06 PM,2:38:59 PM,NB right turn pocket,Car,,,,0,FALSE,TRUE,FALSE,,0:02:53
8/21/2019,2:42:24 PM,2:45:35 PM,NB right turn pocket,Delivery Van (< 20 feet),Blinkers on,,,0,TRUE,FALSE,FALSE,,0:03:11
8/21/2019,2:44:43 PM,2:47:00 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,0,FALSE,FALSE,FALSE,4 people (iincluding driver) got out and came back,0:02:17
8/21/2019,2:45:55 PM,2:46:13 PM,NB right turn pocket,Pickup or SUV,,,,1,TRUE,FALSE,FALSE,,0:00:18
8/21/2019,2:49:36 PM,4:18:56 PM,Space 2,Car,,Interaction with parking meter,,,FALSE,FALSE,FALSE,,1:29:20
8/21/2019,2:51:32 PM,2:55:07 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,Driver got out and brought bags back,0:03:35
8/21/2019,2:59:01 PM,2:59:51 PM,Space 1,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:00:50
8/21/2019,3:01:10 PM,3:02:09 PM,SB bike lane,Pickup or SUV,Blinkers on,,0,1,FALSE,TRUE,FALSE,Driver got out and brought a bag back,0:00:59
8/21/2019,3:07:38 PM,3:22:59 PM,Space 1,Pickup or SUV,,Interaction with parking meter,,,FALSE,FALSE,FALSE,,0:15:21
8/21/2019,3:08:00 PM,3:08:22 PM,SB bike lane,Pickup or SUV,Blinkers on,,0,0,FALSE,FALSE,TRUE,Picked up passengers,0:00:22
8/21/2019,3:12:29 PM,3:18:44 PM,NB right turn pocket,Pickup or SUV,,,,0,FALSE,FALSE,FALSE,,0:06:15
8/21/2019,3:22:00 PM,5:28:48 PM,Space 3,Car,,,,,FALSE,FALSE,FALSE,,2:06:48
8/21/2019,3:23:43 PM,3:35:49 PM,Space 1,Car,,No interaction with parking meter,,0,FALSE,FALSE,FALSE,Picked up passenger,0:12:06
8/21/2019,3:50:00 PM,4:17:38 PM,Space 1,Car,,Interaction with parking meter,,0,FALSE,FALSE,FALSE,,0:27:38
8/21/2019,4:14:54 PM,4:16:32 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,0,FALSE,TRUE,FALSE,Driver got out and brought bags back,0:01:38
8/21/2019,4:18:36 PM,5:35:21 PM,Space 1,Car,,Interaction with parking meter,,0,FALSE,FALSE,FALSE,,1:16:45
8/21/2019,4:21:03 PM,4:21:21 PM,Space 2,Car,,No one exits vehicle,,0,TRUE,FALSE,FALSE,,0:00:18
8/21/2019,4:22:53 PM,5:45:07 PM,Space 2,Car,,Interaction with parking meter,,0,FALSE,FALSE,FALSE,,1:22:14
8/21/2019,4:58:50 PM,4:59:25 PM,NB right turn pocket,Car,Blinkers on,No interaction with parking meter,,0,FALSE,FALSE,TRUE,Dropped off a passenger,0:00:35
8/21/2019,5:00:50 PM,5:27:53 PM,NB right turn pocket,Car,Blinkers on,No interaction with parking meter,,0,TRUE,FALSE,FALSE,,0:27:03
8/21/2019,5:30:55 PM,10:30:00 PM,Space 3,Car,Blinkers on,No interaction with parking meter,,0,TRUE,FALSE,FALSE,,4:59:05
8/21/2019,5:31:26 PM,5:37:32 PM,NB right turn pocket,Car,Other significant characteristic (see note),,,0,FALSE,FALSE,FALSE,It is a police car,0:06:06
8/21/2019,5:34:30 PM,5:34:54 PM,SB bike lane,Pickup or SUV,Blinkers on,,0,0,FALSE,FALSE,TRUE,Dropped off a passenger,0:00:24
8/21/2019,5:38:21 PM,5:40:28 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,Driver got out and brought bags back,0:02:07
8/21/2019,5:41:45 PM,5:47:30 PM,Space 1,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:05:45
8/21/2019,5:43:20 PM,5:43:30 PM,SB bike lane,Car,Blinkers on,,0,1,FALSE,FALSE,TRUE,picked up a passenger,0:00:10
8/21/2019,5:45:07 PM,5:45:52 PM,SB bike lane,Car,Blinkers on,,0,1,FALSE,FALSE,TRUE,picked up a passenger,0:00:45
8/21/2019,5:47:50 PM,5:48:10 PM,Space 2,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:00:20
8/21/2019,5:50:32 PM,5:51:05 PM,Both/Middle of Space 1 & 2,Car,,No one exits vehicle,,2,TRUE,FALSE,FALSE,,0:00:33
8/21/2019,5:51:18 PM,5:57:28 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,TRUE,FALSE,Driver got out and brought bags back,0:06:10
8/21/2019,5:43:04 PM,5:43:24 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,1,TRUE,FALSE,TRUE,,0:00:20
8/21/2019,5:42:18 PM,5:45:08 PM,Space 2,Car,,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:02:50
8/21/2019,5:50:38 PM,5:51:08 PM,Both/Middle of Space 1 & 2,Car,Blinkers on,No one exits vehicle,,1,FALSE,FALSE,FALSE,,0:00:30
8/21/2019,5:52:39 PM,5:59:42 PM,Space 1,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:07:03
8/21/2019,5:58:28 PM,5:59:13 PM,Space 2,Car,Blinkers on,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:00:45
8/21/2019,6:00:30 PM,6:00:38 PM,Space 2,Car,,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:00:08
8/21/2019,6:00:38 PM,6:01:18 PM,Space 1,Car,,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:00:40
8/21/2019,6:00:50 PM,6:10:27 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:09:37
8/21/2019,6:02:03 PM,6:02:38 PM,Space 1,Car,,No one exits vehicle,,,FALSE,FALSE,FALSE,,0:00:35
8/21/2019,6:04:37 PM,6:10:13 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,,FALSE,TRUE,FALSE,driver returned shortly with bag,0:05:36
8/21/2019,6:10:27 PM,6:50:16 PM,Space 2,Car,Blinkers on,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:39:49
8/21/2019,6:11:37 PM,6:23:54 PM,Space 1,Car,,Interaction with parking meter,,,FALSE,FALSE,FALSE,,0:12:17
8/21/2019,6:20:14 PM,6:27:39 PM,SB bike lane,Car,,,3,1,FALSE,FALSE,FALSE,double parked in bike lane for a while,0:07:25
8/21/2019,6:24:09 PM,6:24:21 PM,SB bike lane,Car,,,0,1,TRUE,FALSE,TRUE,,0:00:12
8/21/2019,6:26:10 PM,6:31:38 PM,Space 1,Car,,Interaction with parking meter,,1,FALSE,TRUE,FALSE,,0:05:28
8/21/2019,6:29:08 PM,6:31:28 PM,SB bike lane,Car,Blinkers on,,1,1,FALSE,TRUE,FALSE,,0:02:20
8/21/2019,6:36:29 PM,7:13:40 PM,Space 1,Car,Blinkers on,No interaction with parking meter,,1,FALSE,FALSE,FALSE,,0:37:11
8/21/2019,6:42:59 PM,6:47:34 PM,SB bike lane,Car,,,3,1,FALSE,TRUE,FALSE,,0:04:35
8/21/2019,6:50:44 PM,6:54:35 PM,Space 2,Car,,No interaction with parking meter,,1,FALSE,FALSE,FALSE,,0:03:51
8/21/2019,6:54:58 PM,6:58:48 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:03:50
8/21/2019,6:51:40 PM,6:51:48 PM,SB travel lane,Car,,,,1,TRUE,FALSE,TRUE,,0:00:08
8/21/2019,6:53:20 PM,6:53:55 PM,SB bike lane,Car,,,0,,TRUE,FALSE,TRUE,,0:00:35
8/21/2019,6:57:40 PM,6:58:08 PM,SB bike lane,Car,,,4,,TRUE,FALSE,FALSE,,0:00:28
8/21/2019,6:59:28 PM,6:59:36 PM,Space 2,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:00:08
8/21/2019,7:02:33 PM,7:04:36 PM,Space 2,Car,Blinkers on,Interaction with parking meter,,,TRUE,FALSE,FALSE,Confused by parking meter,0:02:03
8/21/2019,7:03:09 PM,7:03:20 PM,SB bike lane,Car,Blinkers on,No interaction with parking meter,0,,TRUE,FALSE,TRUE,,0:00:11
8/21/2019,7:06:28 PM,7:11:16 PM,Space 2,Car,,No interaction with parking meter,,,FALSE,FALSE,FALSE,,0:04:48
8/21/2019,7:11:20 PM,7:11:31 PM,Space 2,Car,,No one exits vehicle,,,TRUE,FALSE,FALSE,,0:00:11
